name,value,unit,category,context,vartype,source,min_val,max_val,enumvals,boot_val,reset_val,description,is_predefined_tunable,custom_category,is_runtime_modifiable,eligible_for_autotuning,autotuning_exclusion_reason_code,autotuning_exclusion_reason_detail,tuning_min,tuning_max,scale,impact_tier,tuning_priority,tuning_notes,hardware_relative,resource_type,requires_restart,has_tuning_metadata
transaction_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,0,131072,,0,32,Sets the size of the dedicated buffer pool used for the transaction status cache.,False,other,False,True,,,16.0,1024.0,log,extensive,5.0,SLRU buffers for transactions (must be multiple of 16).,False,,True,True
transform_null_equals,off,,Version and Platform Compatibility / Other Platforms and Clients,user,bool,default,,,,off,off,"Treats ""expr=NULL"" as ""expr IS NULL"".",False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
update_process_title,on,,Reporting and Logging / Process Title,superuser,bool,default,,,,on,on,Updates the process title to show the active SQL command.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
vacuum_cost_page_dirty,20,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,0,10000,,20,20,Vacuum cost for a page dirtied by vacuum.,False,other,True,True,,,0.0,1000.0,linear,extensive,5.0,cost of dirtying a page.,False,,False,True
vacuum_cost_page_hit,1,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,0,10000,,1,1,Vacuum cost for a page found in the buffer cache.,False,other,True,True,,,0.0,100.0,linear,extensive,5.0,cost of vacuuming a buffer-hit page.,False,,False,True
vacuum_cost_page_miss,2,,Vacuuming / Cost-Based Vacuum Delay,user,integer,default,0,10000,,2,2,Vacuum cost for a page not found in the buffer cache.,False,other,True,True,,,0.0,1000.0,linear,extensive,5.0,cost of vacuuming a disk-read page.,False,,False,True
vacuum_max_eager_freeze_failure_rate,0.03,,Vacuuming / Freezing,user,real,default,0,1,,0.03,0.03,Fraction of pages in a relation vacuum can scan and fail to freeze before disabling eager scanning.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
vacuum_truncate,on,,Vacuuming / Default Behavior,user,bool,default,,,,on,on,Enables vacuum to truncate empty pages at the end of the table.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
wal_compression,off,,Write-Ahead Log / Settings,superuser,enum,default,,,"['pglz', 'lz4', 'zstd', 'on', 'off']",off,off,Compresses full-page writes written in WAL file with specified method.,True,wal,True,True,,,,,linear,extensive,5.0,,False,,False,False
wal_init_zero,on,,Write-Ahead Log / Settings,superuser,bool,default,,,,on,on,Writes zeroes to new WAL files before first use.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
wal_level,replica,,Write-Ahead Log / Settings,postmaster,enum,default,,,"['minimal', 'replica', 'logical']",replica,replica,Sets the level of information written to the WAL.,True,wal,False,True,,,,,linear,extensive,5.0,,False,,True,False
wal_log_hints,off,,Write-Ahead Log / Settings,postmaster,bool,default,,,,off,off,"Writes full pages to WAL when first modified after a checkpoint, even for a non-critical modification.",False,other,False,True,,,,,linear,extensive,5.0,,False,,True,False
wal_receiver_create_temp_slot,off,,Replication / Standby Servers,sighup,bool,default,,,,off,off,Sets whether a WAL receiver should create a temporary replication slot if no permanent slot is configured.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
wal_recycle,on,,Write-Ahead Log / Settings,superuser,bool,default,,,,on,on,Recycles WAL files by renaming them.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
wal_sync_method,fdatasync,,Write-Ahead Log / Settings,sighup,enum,default,,,"['fsync', 'fdatasync', 'open_sync', 'open_datasync']",fdatasync,fdatasync,Selects the method used for forcing WAL updates to disk.,False,other,True,True,,,,,linear,extensive,5.0,,False,,False,False
